Gene,KKU156,KKU213,KKU214,HuCCA1,RBE,KKK138,HuCCT1,HuH28,KKK068,KKK131,KKU055,KKU100,SSP25,TFK1,YSCCC
PHIP,4.338993504,4.187448989,3.648119281,3.170064303,3.760243409,3.152038172,3.015948878,3.210310797,3.312919284,4.427504434,4.311180657,3.575316829,3.647414306,3.59424921,3.740564592
PHKA1,3.457035934,1.540632148,3.722865171,2.957610798,1.24453985,1.914477365,1.802255635,0.402321093,2.589855979,2.022881733,2.931116802,3.131542288,2.811516843,3.172820653,1.945907996
PHKA2,3.506716693,3.486513698,3.566718867,1.529472116,2.053364225,2.683327405,2.488600518,2.812972286,2.534365665,1.985305695,3.082995009,3.398121655,2.350516649,1.600887073,2.877768746
PHKA2-AS1,8.833644473,8.957264094,8.763089995,8.071757692,7.871996976,7.978733046,7.929691708,8.123341987,7.468873697,7.699318466,8.973845304,8.631168827,7.929445043,7.666330331,7.705417113
PHKB,4.305751409,3.617122308,3.600795755,4.041483748,4.004827585,3.849143211,3.643546514,3.418498747,4.505936995,4.085678025,3.566329194,3.756100377,3.07753498,4.255308715,3.7183861
PHKG1,9.124928203,8.657588602,8.937406449,9.721324827,9.123324716,9.015206913,9.290741199,8.016628173,8.355841824,8.879299053,8.160262943,8.650444563,9.282314114,9.162851832,9.512265592
PHKG2,5.251888791,5.374839863,5.98752567,6.65420649,5.846447801,5.341049023,6.043118324,5.658145673,5.338068424,5.124701152,6.099746437,5.340392928,5.116976395,3.943837676,5.807721725
PHLDA1,7.116319985,6.871335562,6.595107767,6.540069359,6.33200936,4.798669878,6.2174875,3.253154674,6.31211192,6.659677581,7.411894138,5.355652681,4.608519878,4.720956579,5.861297746
PHLDA2,4.838715356,4.911086355,4.012793491,3.186493684,4.224614278,4.264753012,3.885998887,3.528057449,2.997813444,3.936280326,1.874207353,2.572774393,1.820975822,1.167755581,3.824497114
PHLDA3,4.933224972,4.895632337,4.950221353,5.303864167,5.302825207,5.282801141,4.203311744,4.455892399,2.313875203,3.771055473,2.033176378,4.508592549,3.223762986,0.093992096,4.475994564
PHLDB1,1.961617401,3.290220383,2.034415477,3.615933112,2.471086792,3.171955366,3.247377182,3.922944417,2.948237632,2.428673541,2.522853045,0.11114846,3.065754573,1.219298143,0.11114846
PHLDB2,4.219463189,4.213339174,4.298338956,4.316344836,2.967497942,3.516135753,4.878663959,5.041869161,4.213806784,4.644760532,0.418607201,4.631889474,3.904821633,3.456548718,5.191446077
PHLDB3,1.500022276,1.917700464,0.525446478,0.494471304,1.150746105,0.64503062,1.542683848,1.913432425,1.183724662,1.92731514,0.841590271,1.748877112,0.410554356,0.46205752,0.809722272
PHLPP1,1.452056064,1.529535272,1.517082258,2.793208346,1.395609681,1.101452135,2.045977329,1.440408821,1.149260363,1.466629381,1.597157012,1.425267021,0.459130299,2.309438524,2.070467343
PHLPP2,1.851819075,2.441553825,2.975666687,2.640484007,1.836049093,1.072946916,1.592232807,1.641971919,2.205419005,1.550168923,2.17137059,2.372063876,1.935842789,2.258159046,3.957695559
PHOSPHO2,2.17832571,2.161180157,2.124555925,0.288933885,1.178555773,2.658603266,2.469698829,1.31249992,1.74635333,2.163002101,0.711025692,2.315647116,2.996858251,1.506921719,2.606830739
PHOSPHO2-KLHL23,2.6302022,2.516378105,2.856566331,1.309648721,2.703323681,2.217721856,2.299990251,1.781726776,1.804919928,3.067391865,2.758238312,1.195755665,2.347349017,1.693624867,1.910681352
PHOX2A,3.698693035,3.782526503,3.344405377,3.681208963,4.016856878,1.878509912,2.990491276,3.292326139,3.29179576,2.220050678,3.86202301,3.903442649,3.611706338,2.753890621,3.993619915
PHPT1,5.084882457,6.734021275,5.661869087,6.127720438,5.966152054,6.288017612,4.607907531,5.257828681,6.116349682,4.138749117,5.013514889,5.474027357,4.959158557,6.22737441,5.213971595
PHRF1,3.674288567,2.810543893,2.970907269,2.712834708,3.910086554,3.7432394,3.042610398,3.460726283,3.253388887,3.056120021,4.887490145,3.129293297,3.066245881,1.705448675,2.886065281
PHTF1,3.028686569,4.739793893,4.721703081,3.776500445,2.867548458,3.674920516,3.154650267,3.819866675,3.745642677,4.453133271,3.884645044,2.214740913,4.780283624,4.526799287,2.834942305
PHTF2,2.88777273,2.253981029,2.563604844,3.848607685,2.162300887,2.607989429,2.467566804,2.629549847,3.964869727,1.743342343,3.344749515,2.405071413,2.173106263,3.245759583,2.900884031
PHYH,2.901401213,3.152642481,2.694042301,2.466520295,3.100628712,3.16539836,1.834991971,2.994960719,2.317142346,4.325737045,4.131245972,4.754224042,1.839389383,1.568594853,3.661154075
PHYHIPL,2.583302859,4.237993461,2.943294323,0.093073768,3.852715561,4.534409482,0.093073768,6.262380857,0.444648495,0.377172577,4.607224873,0.583845565,5.24628733,0.093073768,0.582899956
PHYKPL,5.924698839,5.584464138,5.264830652,5.641215991,5.693928269,5.135106699,4.746439578,4.885132025,4.0919249,4.000471751,5.596008469,4.757440529,5.464793213,5.382688878,5.625407483
PI4K2A,5.961007611,5.274336882,5.81087102,5.389787449,3.449833532,3.530145136,3.372999643,3.099019747,4.102569623,3.167899328,3.300777828,7.030769628,4.089637048,4.713982116,4.245313561
PI4K2B,5.275518458,3.456462995,3.084808311,2.267511499,2.391327218,2.631023678,2.942928008,2.058552915,2.012366516,3.659545666,3.894549507,3.022548597,3.07361317,2.091127887,3.357439048
PI4KA,2.759252995,2.733987654,1.939198085,1.080299548,2.10096731,2.487250936,2.540739452,3.346762897,2.188373028,2.353012257,2.705515537,2.577592064,1.555528361,2.136708418,2.482542425
PI4KAP2,1.518668921,1.042895342,0.176354683,1.580556726,0.868902815,2.404035222,1.432781955,1.201975322,2.327171737,0.446935742,1.767109255,0.176354683,0.440587668,0.485154492,0.891050074
PI4KB,3.534559994,3.098956508,3.408992565,3.24510391,3.671212415,3.282684985,3.37160374,3.692084103,4.355197574,2.719265821,3.852805768,3.086063826,3.936256637,3.531965732,4.199568582
PIANP,3.310147979,2.746971345,1.681102889,2.715056367,3.119594355,2.190640542,2.112439449,1.703901351,3.806235028,1.827030474,2.531946568,2.118990218,2.13756163,1.040407185,1.586591138
PIAS1,1.978882708,3.001728261,3.023916187,3.082092882,2.103977014,2.75751343,1.902812588,2.481740294,2.335291131,2.377888119,3.361947237,2.994030373,2.808967176,4.590825892,4.24447765
PIAS2,1.104416589,1.747640244,1.731533767,1.278373884,1.662284509,1.761539774,1.91141852,2.434908471,1.822640806,1.80747319,1.635683702,1.846511452,1.273890651,1.188015926,2.195419068
PIAS3,4.78435764,4.24608515,4.208824692,4.332602376,5.08373449,4.026415456,5.531686332,4.96976962,5.382251316,4.563963697,5.378623494,3.640880153,4.269273564,4.958426076,5.377855737
PIAS4,3.133869902,3.972295589,3.543946945,4.368660116,2.826822084,3.734680149,3.598385712,3.430951798,3.235295053,1.327711204,3.235382785,2.457095833,4.292494714,2.878139438,4.344254154
PIBF1,3.336711894,1.419674666,2.770353761,1.811291859,1.83147171,1.979759437,2.221190663,1.321522542,1.415284161,2.355195739,2.1335046,1.385850973,1.937717393,0.76943602,0.395469521
PICALM,5.154064132,5.127181597,4.288122826,5.299636055,5.083358985,4.674508725,6.029481469,4.934758449,4.585150633,6.173522901,4.35844807,4.357886758,5.406900779,4.052841056,4.202989973
PICK1,2.792470694,1.316394366,2.284532901,2.070162265,1.370973655,3.1224186,2.688203911,0.704202809,1.560677136,2.944212236,1.284396855,1.249485103,0.563208921,1.886428537,2.700291047
PIDD1,1.994288338,1.144088754,1.005186417,1.389255193,0.848667714,1.393421972,0.920147562,1.752344328,0.493100846,0.646978268,3.172398693,1.52521685,0.405574657,0.745885596,1.608584325
PIEZO1,3.976930562,3.905543681,3.792143775,3.846594158,4.410489437,4.35016202,4.489320235,3.764074336,4.250617549,3.326378528,4.225196557,4.46538281,2.931102201,3.692680113,4.073909438
PIF1,1.846833973,1.887058458,1.497062006,1.434643259,2.179325203,1.441825694,0.918266863,2.305893147,0.486889526,1.31278192,2.310201185,1.290224833,0.685601027,0.751358454,0.76332839
PIGA,3.64944855,3.465135659,4.094437229,2.234369446,0.369359371,2.561452965,2.220366853,1.726357377,2.165221979,2.052102526,2.50570752,3.248695243,2.69322283,1.660822186,1.771706278
PIGB,7.117229805,7.100571416,6.977511681,7.781685953,7.109082727,7.200052918,6.407349248,8.331946686,6.535276087,7.054431506,6.200006512,7.634685596,7.281107618,7.994445089,7.629004107
PIGC,3.410827423,3.700725564,3.957981615,4.017478232,4.995138731,3.707871013,4.792879512,4.392674157,4.161541106,2.185115446,4.421767359,3.610618029,3.977330136,4.197673019,4.001235336
PIGF,8.647096676,7.985822193,8.941755157,7.718958123,9.219296976,10.66736954,8.090624701,10.02645131,9.929969477,8.815442311,9.81068062,8.717205512,9.810917356,8.207903559,9.47733827
PIGG,1.018208623,2.272207835,2.125124246,2.152844163,1.599256526,2.009373855,2.136165636,1.889407321,1.160269184,1.869791073,2.613406929,2.769906371,0.678624632,1.785830777,1.845574893
PIGH,5.448116998,4.291793607,5.675086283,5.388723511,2.580116124,4.872343835,5.043601033,3.579392717,3.911678674,5.495900486,5.063667982,4.729599229,3.351347133,5.139785098,3.183902623
