"Gene","mean.CCA1","mean.CCA2","ratio","wilcox.pvalue","VIP.rf","Accuracy.rf","VIP.plsda","Accuracy.plsda","Drug"
"MKNK2",3.42391001228959,2.53572368705306,1.35026936482529,0.0169287064860876,100,0.714285714285714,11.8437276142587,0.857142857142857,"Caffeic APE"
"RRP9",4.04011351549347,2.63558244505059,1.53291107363402,0.0169287064860876,15.8078602620087,0.714285714285714,29.06042230492,0.857142857142857,"Caffeic APE"
"FUT4",3.02876113844399,2.17485800998881,1.3926247711498,0.0234649782886856,86.4628820960699,0.714285714285714,12.7697371553995,0.857142857142857,"Caffeic APE"
"SLC6A8",4.58714292144138,3.05123580999338,1.50337214397446,0.0234649782886856,72.54730713246,0.714285714285714,32.0504957379776,0.857142857142857,"Caffeic APE"
"ICAM1",4.0880788428427,1.99551612102386,2.04863233114107,0.0320887339782313,78.6026200873362,0.714285714285714,48.1494873280085,0.857142857142857,"Caffeic APE"
"PIDD1",1.86269459387457,0.97316665445597,1.91405509564636,0.0320887339782313,7.13245997088792,0.714285714285714,3.31060839678874,0.857142857142857,"Caffeic APE"
"RHOB",3.38706053767757,4.44133244848167,0.762622608635272,0.0320887339782313,9.11208151382824,0.714285714285714,2.30809772729527,0.857142857142857,"Caffeic APE"
"ARRB2",2.9481450738109,2.05849284439069,1.43218621422197,0.0432974657793033,0,0.714285714285714,0.859201755743136,0.857142857142857,"Caffeic APE"
"CBR1",2.7866103192739,3.99768535290565,0.697055939444684,0.0432974657793033,25.3275109170306,0.714285714285714,32.6548268617506,0.857142857142857,"Caffeic APE"
"ECH1",3.69574551186048,5.29213746898065,0.698346468420886,0.0432974657793033,78.9519650655022,0.714285714285714,53.7516803490601,0.857142857142857,"Caffeic APE"
"EXOSC7",4.74333507294962,3.93990601979623,1.20392086743098,0.0432974657793033,25.0363901018923,0.714285714285714,0,0.857142857142857,"Caffeic APE"
"CDKN2A",3.52684181450766,1.13859824422439,3.0975296443656,0.04630159491511,18.5735080058224,0.714285714285714,70.3487908123809,0.857142857142857,"Caffeic APE"
